01.03.02 Искусственный интеллект и анализ данных (Стерлитамакский филиал), Очная, Бюджет, Общая
01.03.02 Искусственный интеллект и анализ данных (Стерлитамакский филиал), Очная, Бюджет, Особая
01.03.02 Искусственный интеллект и анализ данных (Стерлитамакский филиал), Очная, Бюджет, Целевая
01.03.02 Прикладная математика и информатика (Бирский филиал), Очная, Бюджет, Общая
01.03.02 Прикладная математика и информатика, Очная, Бюджет
01.03.02 Прикладная математика и информатика, Очная, Бюджет, Особая
01.03.02 Прикладная математика и информатика, Очная, Бюджет, Отдельная
01.03.02 Прикладная математика и информатика, Очная, Бюджет, Целевая
01.03.02 Прикладная математика и информационные технологии (Сибайский институт), Очная, Бюджет, Общая
01.03.02 Прикладная математика и информационные технологии (Сибайский институт), Очная, Бюджет, Особая
01.03.02 Прикладная математика и информационные технологии (Сибайский институт), Очная, Бюджет, Отдельная
01.03.02 Прикладная математика и информационные технологии (Сибайский институт), Очно-заочная, Бюджет, Общая
01.03.02 Прикладная математика и информационные технологии (Сибайский институт), Очно-заочная, Бюджет, Отдельная
01.03.04 Современные информационные технологии в прикладных задачах, Очная, Бюджет, Общая
01.03.04 Современные информационные технологии в прикладных задачах, Очная, Бюджет, Особая
01.03.04 Современные информационные технологии в прикладных задачах, Очная, Бюджет, Отдельная
01.03.05 Статистика, Очная, Бюджет, Общая
01.03.05 Статистика, Очная, Бюджет, Особая
01.03.05 Статистика, Очная, Бюджет, Отдельная
01.03.05 Статистика, Очная, Бюджет, Целевая
02.03.01 Математическое обеспечение компьютерных наук, Очная, Бюджет, Общая
02.03.01 Математическое обеспечение компьютерных наук, Очная, Бюджет, Особая
02.03.01 Математическое обеспечение компьютерных наук, Очная, Бюджет, Отдельная
02.03.03 Технологиии искусственного интеллекта, Очная, Бюджет, Общая
02.03.03 Технологиии искусственного интеллекта, Очная, Бюджет, Особая
02.03.03 Технологиии искусственного интеллекта, Очная, Бюджет, Отдельная
03.03.01 Моделирование физических процессов и технологий, Очная, Бюджет, Общая
03.03.01 Моделирование физических процессов и технологий, Очная, Бюджет, Особая
03.03.01 Моделирование физических процессов и технологий, Очная, Бюджет, Отдельная
03.03.02 Медицинская физика (Стерлитамакский филиал), Очная, Бюджет, Общая
03.03.02 Медицинская физика (Стерлитамакский филиал), Очная, Бюджет, Особая
03.03.02 Медицинская физика (Стерлитамакский филиал), Очная, Бюджет, Отдельная
03.03.02 Медицинская физика (Стерлитамакский филиал), Очная, Бюджет, Целевая
03.03.02 Физика (по профилям), Очная, Бюджет, Общая
03.03.02 Физика (по профилям), Очная, Бюджет, Отдельная
